cap1,cap2,cap3,cap4,X,Y
0.48257,0.92455,0.86334,0.93259,0.67799,2.3116
0.48344,0.9236,0.83706,0.93346,0.70053,2.3668
0.48483,0.92267,0.7925,0.93397,0.75738,2.374
0.48624,0.92191,0.72198,0.93454,0.8602,2.3435
0.48725,0.92156,0.62248,0.93519,0.93019,2.3159
0.4876,0.92268,0.49677,0.93639,1.0165,2.2972
0.48745,0.92515,0.36662,0.93828,1.0978,2.3191
0.48698,0.92789,0.25587,0.94091,1.1949,2.3596
0.48641,0.9312,0.19336,0.94456,1.2586,2.3749
0.48589,0.93293,0.18664,0.94799,1.3449,2.3803
0.4855,0.93186,0.2294,0.95032,1.4186,2.3739
0.4854,0.92754,0.30571,0.95079,1.4951,2.3567
0.48573,0.92176,0.39017,0.94905,1.5885,2.3329
0.48663,0.91649,0.46869,0.94591,1.6401,2.3217
0.488,0.91284,0.53523,0.94238,1.7164,2.3316
0.48955,0.9108,0.59438,0.93974,1.7827,2.3583
0.49078,0.90916,0.65105,0.93808,1.8411,2.3938
0.49066,0.90666,0.70683,0.93767,1.9047,2.4165
0.48959,0.90254,0.75929,0.93828,1.9427,2.4069
0.48785,0.89697,0.80442,0.93947,1.9977,2.3756
0.48619,0.89107,0.83795,0.9405,2.043,2.3359
0.48495,0.88506,0.85974,0.9412,2.0943,2.2792
0.4843,0.87828,0.87266,0.94164,2.0615,2.2534
0.48414,0.8689,0.8802,0.94208,2.1355,2.2347
0.48413,0.85083,0.88599,0.94229,2.2823,2.2072
0.48378,0.81765,0.89211,0.94287,2.333,2.1627
0.48281,0.75119,0.89857,0.94335,2.3517,2.0754
0.4814,0.6422,0.90504,0.94361,2.325,2.0027
0.48017,0.49332,0.91094,0.9434,2.3006,1.9013
0.47966,0.31943,0.91608,0.94264,2.3055,1.8209
0.47967,0.15688,0.92052,0.94168,2.3051,1.7713
0.47996,0.039242,0.92457,0.94093,2.324,1.6841
0.48033,0.0015479,0.92831,0.9408,2.3618,1.5818
0.48043,0.042793,0.93152,0.94126,2.3827,1.5103
0.48011,0.14659,0.93386,0.94204,2.384,1.4309
0.47939,0.28706,0.93492,0.94276,2.3524,1.353
0.47814,0.43093,0.93478,0.9432,2.328,1.3014
0.47661,0.55948,0.93387,0.9434,2.314,1.2323
0.47491,0.66137,0.93279,0.94303,2.3329,1.1694
0.47325,0.73833,0.9319,0.94259,2.3713,1.0772
0.47175,0.79494,0.93122,0.94226,2.4035,0.98425
0.47037,0.83156,0.93089,0.94212,2.4024,0.93785
0.46875,0.85491,0.93209,0.94218,2.3744,0.86899
0.46646,0.86871,0.9357,0.94262,2.3399,0.80949
0.46299,0.8758,0.94003,0.94361,2.3142,0.74983
0.45837,0.8794,0.94168,0.945,2.2821,0.69803
0.45257,0.8814,0.94252,0.94671,2.2632,0.65352
0.4445,0.88323,0.9437,0.94822,2.2379,0.57923
0.43157,0.88589,0.94565,0.94896,2.2238,0.51958
0.40977,0.88913,0.94544,0.94858,2.1904,0.49453
0.37334,0.89224,0.94446,0.94697,2.1059,0.51006
0.32255,0.89366,0.94362,0.94466,2.034,0.5143
0.26231,0.89295,0.94325,0.94223,1.956,0.46189
0.20375,0.89001,0.94352,0.94031,1.8622,0.52836
0.16079,0.88637,0.94427,0.93911,1.7534,0.52937
0.14238,0.88372,0.94521,0.93839,1.6885,0.50622
0.15437,0.88345,0.94602,0.93801,1.5954,0.4943
0.18856,0.88509,0.94719,0.93764,1.5243,0.50799
0.23516,0.88783,0.94869,0.93718,1.4494,0.54098
0.28401,0.89,0.94841,0.9368,1.3499,0.58106
0.32799,0.89149,0.94804,0.93667,1.2866,0.58985
0.36512,0.89392,0.94778,0.93732,1.1993,0.57856
0.39502,0.8998,0.94752,0.9384,1.114,0.5572
0.41926,0.90915,0.94831,0.93946,1.0111,0.5329
0.43838,0.92029,0.94834,0.94008,0.94988,0.53046
0.45194,0.9291,0.94807,0.93999,0.88762,0.56268
0.46092,0.93249,0.94844,0.93885,0.83388,0.59341
0.46632,0.93006,0.94867,0.93679,0.78002,0.62843
0.46938,0.92146,0.94899,0.93435,0.69492,0.68156
0.47164,0.91147,0.94922,0.93221,0.6493,0.70618
0.47359,0.90305,0.94936,0.92916,0.57211,0.74309
0.47559,0.89868,0.94949,0.91747,0.50333,0.80031
0.47748,0.89711,0.94967,0.88267,0.47947,0.86456
0.47927,0.89819,0.94975,0.80982,0.50217,0.93004
0.48082,0.90205,0.9491,0.68378,0.53151,1.0008
0.48214,0.90865,0.94714,0.5178,0.55054,1.1014
0.48331,0.9178,0.94383,0.34004,0.55,1.192
0.48421,0.92829,0.93955,0.19638,0.5346,1.2511
0.48432,0.93738,0.93462,0.12312,0.50681,1.3884
0.48371,0.94272,0.92931,0.13228,0.50299,1.4665
0.48282,0.94231,0.92463,0.21841,0.51205,1.5533
0.48218,0.93705,0.92125,0.34109,0.52949,1.6214
0.48193,0.92875,0.91928,0.46781,0.56078,1.7086
0.4823,0.91974,0.9183,0.57344,0.57867,1.7551
0.48329,0.91208,0.91771,0.654,0.55533,1.7966
0.48463,0.90663,0.91779,0.71559,0.50406,1.8535
0.48595,0.90381,0.91812,0.76592,0.46844,1.9179
0.48697,0.90312,0.91767,0.81125,0.45579,1.9629
0.48743,0.90419,0.91512,0.85171,0.47253,2.024
